DialogueCode,file,provider,model_code,case_id,condition
D001,google__case09__with_context.jsonl,google,M5,9,with_context
D002,deepseek__case05__without_context.jsonl,deepseek,M2,5,without_context
D003,anthropic__case01__without_context.jsonl,anthropic,M3,1,without_context
D004,openai__case06__without_context.jsonl,openai,M4,6,without_context
D005,google__case05__without_context.jsonl,google,M5,5,without_context
D006,anthropic__case05__with_context.jsonl,anthropic,M3,5,with_context
D007,anthropic__case03__with_context.jsonl,anthropic,M3,3,with_context
D008,deepseek__case07__with_context.jsonl,deepseek,M2,7,with_context
D009,anthropic__case10__with_context.jsonl,anthropic,M3,10,with_context
D010,xai__case05__without_context.jsonl,xai,M1,5,without_context
D011,anthropic__case10__without_context.jsonl,anthropic,M3,10,without_context
D012,google__case02__without_context.jsonl,google,M5,2,without_context
D013,xai__case10__with_context.jsonl,xai,M1,10,with_context
D014,anthropic__case05__without_context.jsonl,anthropic,M3,5,without_context
D015,xai__case02__without_context.jsonl,xai,M1,2,without_context
D016,deepseek__case03__with_context.jsonl,deepseek,M2,3,with_context
D017,openai__case04__without_context.jsonl,openai,M4,4,without_context
D018,xai__case03__with_context.jsonl,xai,M1,3,with_context
D019,deepseek__case02__with_context.jsonl,deepseek,M2,2,with_context
D020,anthropic__case04__with_context.jsonl,anthropic,M3,4,with_context
D021,deepseek__case10__with_context.jsonl,deepseek,M2,10,with_context
D022,xai__case07__without_context.jsonl,xai,M1,7,without_context
D023,google__case03__with_context.jsonl,google,M5,3,with_context
D024,anthropic__case02__with_context.jsonl,anthropic,M3,2,with_context
D025,xai__case08__with_context.jsonl,xai,M1,8,with_context
D026,google__case07__with_context.jsonl,google,M5,7,with_context
D027,openai__case10__without_context.jsonl,openai,M4,10,without_context
D028,anthropic__case04__without_context.jsonl,anthropic,M3,4,without_context
D029,google__case01__without_context.jsonl,google,M5,1,without_context
D030,google__case06__with_context.jsonl,google,M5,6,with_context
D031,openai__case02__without_context.jsonl,openai,M4,2,without_context
D032,deepseek__case04__without_context.jsonl,deepseek,M2,4,without_context
D033,anthropic__case09__with_context.jsonl,anthropic,M3,9,with_context
D034,google__case10__without_context.jsonl,google,M5,10,without_context
D035,openai__case01__without_context.jsonl,openai,M4,1,without_context
D036,openai__case05__without_context.jsonl,openai,M4,5,without_context
D037,anthropic__case08__without_context.jsonl,anthropic,M3,8,without_context
D038,xai__case05__with_context.jsonl,xai,M1,5,with_context
D039,google__case08__with_context.jsonl,google,M5,8,with_context
D040,xai__case01__without_context.jsonl,xai,M1,1,without_context
D041,anthropic__case01__with_context.jsonl,anthropic,M3,1,with_context
D042,openai__case08__with_context.jsonl,openai,M4,8,with_context
D043,openai__case08__without_context.jsonl,openai,M4,8,without_context
D044,openai__case03__with_context.jsonl,openai,M4,3,with_context
D045,openai__case03__without_context.jsonl,openai,M4,3,without_context
D046,xai__case03__without_context.jsonl,xai,M1,3,without_context
D047,deepseek__case09__with_context.jsonl,deepseek,M2,9,with_context
D048,openai__case05__with_context.jsonl,openai,M4,5,with_context
D049,deepseek__case04__with_context.jsonl,deepseek,M2,4,with_context
D050,openai__case09__with_context.jsonl,openai,M4,9,with_context
D051,deepseek__case10__without_context.jsonl,deepseek,M2,10,without_context
D052,anthropic__case07__without_context.jsonl,anthropic,M3,7,without_context
D053,xai__case08__without_context.jsonl,xai,M1,8,without_context
D054,google__case08__without_context.jsonl,google,M5,8,without_context
D055,deepseek__case06__without_context.jsonl,deepseek,M2,6,without_context
D056,anthropic__case06__without_context.jsonl,anthropic,M3,6,without_context
D057,openai__case06__with_context.jsonl,openai,M4,6,with_context
D058,openai__case01__with_context.jsonl,openai,M4,1,with_context
D059,anthropic__case07__with_context.jsonl,anthropic,M3,7,with_context
D060,google__case09__without_context.jsonl,google,M5,9,without_context
D061,xai__case01__with_context.jsonl,xai,M1,1,with_context
D062,deepseek__case01__without_context.jsonl,deepseek,M2,1,without_context
D063,deepseek__case06__with_context.jsonl,deepseek,M2,6,with_context
D064,xai__case06__without_context.jsonl,xai,M1,6,without_context
D065,deepseek__case08__without_context.jsonl,deepseek,M2,8,without_context
D066,xai__case09__without_context.jsonl,xai,M1,9,without_context
D067,anthropic__case02__without_context.jsonl,anthropic,M3,2,without_context
D068,deepseek__case03__without_context.jsonl,deepseek,M2,3,without_context
D069,google__case02__with_context.jsonl,google,M5,2,with_context
D070,deepseek__case01__with_context.jsonl,deepseek,M2,1,with_context
