dimension,model,test,stat,p
Awareness,ChatGPT,shapiro,0.932,0.4636702529154908
Awareness,Claude,shapiro,0.869,0.09708782236913951
Awareness,DeepSeek,shapiro,0.967,0.8616786798437476
Awareness,Gemini,shapiro,0.893,0.18383465153773965
Awareness,Grok,shapiro,0.729,0.0019604932848203372
Awareness,ALL,levene,0.745,0.5664170292158799
Consistency,ChatGPT,shapiro,0.751,0.00365199675783127
Consistency,Claude,shapiro,0.594,4.713463965953735e-05
Consistency,DeepSeek,shapiro,,
Consistency,Gemini,shapiro,0.862,0.07984802394021383
Consistency,Grok,shapiro,0.752,0.0037366127040503946
Consistency,ALL,levene,1.527,0.21047286955929603
Ethics,ChatGPT,shapiro,0.843,0.04737408434202852
Ethics,Claude,shapiro,0.889,0.16728699494251437
Ethics,DeepSeek,shapiro,0.823,0.02758928053531209
Ethics,Gemini,shapiro,0.89,0.16782999976057378
Ethics,Grok,shapiro,0.898,0.20721651854900924
Ethics,ALL,levene,0.475,0.753815743158365
Contradiction,ChatGPT,shapiro,0.487,2.52987739312174e-06
Contradiction,Claude,shapiro,0.509,4.672333118392026e-06
Contradiction,DeepSeek,shapiro,,
Contradiction,Gemini,shapiro,0.537,1.001429571333788e-05
Contradiction,Grok,shapiro,0.509,4.672333118392026e-06
Contradiction,ALL,levene,0.618,0.6520834540928381
