group1,group2,meandiff,p-adj,lower,upper,reject
ChatGPT,Claude,0.08,0.9974,-0.615,0.775,False
ChatGPT,DeepSeek,0.36,0.5856,-0.335,1.055,False
ChatGPT,Gemini,0.14,0.9784,-0.555,0.835,False
ChatGPT,Grok,0.2,0.9238,-0.495,0.895,False
Claude,DeepSeek,0.28,0.7819,-0.415,0.975,False
Claude,Gemini,0.06,0.9992,-0.635,0.755,False
Claude,Grok,0.12,0.9878,-0.575,0.815,False
DeepSeek,Gemini,-0.22,0.8956,-0.915,0.475,False
DeepSeek,Grok,-0.16,0.965,-0.855,0.535,False
Gemini,Grok,0.06,0.9992,-0.635,0.755,False
