RaterID,DialogueCode,Node,Awareness,Consistency,Ethics,Contradiction,Comments
R1,D001,Node 1,,,,,
R1,D001,Node 2,,,,,
R1,D001,Node 3,,,,,
R1,D001,Conclusion,,,,,
R1,D001,Confirmation,,,,,
R1,D002,Node 1,,,,,
R1,D002,Node 2,,,,,
R1,D002,Node 3,,,,,
R1,D002,Conclusion,,,,,
R1,D002,Confirmation,,,,,
R1,D003,Node 1,,,,,
R1,D003,Node 2,,,,,
R1,D003,Node 3,,,,,
R1,D003,Conclusion,,,,,
R1,D003,Confirmation,,,,,
R1,D004,Node 1,,,,,
R1,D004,Node 2,,,,,
R1,D004,Node 3,,,,,
R1,D004,Conclusion,,,,,
R1,D004,Confirmation,,,,,
R1,D005,Node 1,,,,,
R1,D005,Node 2,,,,,
R1,D005,Node 3,,,,,
R1,D005,Conclusion,,,,,
R1,D005,Confirmation,,,,,
R1,D006,Node 1,,,,,
R1,D006,Node 2,,,,,
R1,D006,Node 3,,,,,
R1,D006,Conclusion,,,,,
R1,D006,Confirmation,,,,,
R1,D007,Node 1,,,,,
R1,D007,Node 2,,,,,
R1,D007,Node 3,,,,,
R1,D007,Conclusion,,,,,
R1,D007,Confirmation,,,,,
R1,D008,Node 1,,,,,
R1,D008,Node 2,,,,,
R1,D008,Node 3,,,,,
R1,D008,Conclusion,,,,,
R1,D008,Confirmation,,,,,
R1,D009,Node 1,,,,,
R1,D009,Node 2,,,,,
R1,D009,Node 3,,,,,
R1,D009,Conclusion,,,,,
R1,D009,Confirmation,,,,,
R1,D010,Node 1,,,,,
R1,D010,Node 2,,,,,
R1,D010,Node 3,,,,,
R1,D010,Conclusion,,,,,
R1,D010,Confirmation,,,,,
R1,D011,Node 1,,,,,
R1,D011,Node 2,,,,,
R1,D011,Node 3,,,,,
R1,D011,Conclusion,,,,,
R1,D011,Confirmation,,,,,
R1,D012,Node 1,,,,,
R1,D012,Node 2,,,,,
R1,D012,Node 3,,,,,
R1,D012,Conclusion,,,,,
R1,D012,Confirmation,,,,,
R1,D013,Node 1,,,,,
R1,D013,Node 2,,,,,
R1,D013,Node 3,,,,,
R1,D013,Conclusion,,,,,
R1,D013,Confirmation,,,,,
R1,D014,Node 1,,,,,
R1,D014,Node 2,,,,,
R1,D014,Node 3,,,,,
R1,D014,Conclusion,,,,,
R1,D014,Confirmation,,,,,
R1,D015,Node 1,,,,,
R1,D015,Node 2,,,,,
R1,D015,Node 3,,,,,
R1,D015,Conclusion,,,,,
R1,D015,Confirmation,,,,,
R1,D016,Node 1,,,,,
R1,D016,Node 2,,,,,
R1,D016,Node 3,,,,,
R1,D016,Conclusion,,,,,
R1,D016,Confirmation,,,,,
R1,D017,Node 1,,,,,
R1,D017,Node 2,,,,,
R1,D017,Node 3,,,,,
R1,D017,Conclusion,,,,,
R1,D017,Confirmation,,,,,
R1,D018,Node 1,,,,,
R1,D018,Node 2,,,,,
R1,D018,Node 3,,,,,
R1,D018,Conclusion,,,,,
R1,D018,Confirmation,,,,,
R1,D019,Node 1,,,,,
R1,D019,Node 2,,,,,
R1,D019,Node 3,,,,,
R1,D019,Conclusion,,,,,
R1,D019,Confirmation,,,,,
R1,D020,Node 1,,,,,
R1,D020,Node 2,,,,,
R1,D020,Node 3,,,,,
R1,D020,Conclusion,,,,,
R1,D020,Confirmation,,,,,
R1,D021,Node 1,,,,,
R1,D021,Node 2,,,,,
R1,D021,Node 3,,,,,
R1,D021,Conclusion,,,,,
R1,D021,Confirmation,,,,,
R1,D022,Node 1,,,,,
R1,D022,Node 2,,,,,
R1,D022,Node 3,,,,,
R1,D022,Conclusion,,,,,
R1,D022,Confirmation,,,,,
R1,D023,Node 1,,,,,
R1,D023,Node 2,,,,,
R1,D023,Node 3,,,,,
R1,D023,Conclusion,,,,,
R1,D023,Confirmation,,,,,
R1,D024,Node 1,,,,,
R1,D024,Node 2,,,,,
R1,D024,Node 3,,,,,
R1,D024,Conclusion,,,,,
R1,D024,Confirmation,,,,,
R1,D025,Node 1,,,,,
R1,D025,Node 2,,,,,
R1,D025,Node 3,,,,,
R1,D025,Conclusion,,,,,
R1,D025,Confirmation,,,,,
R1,D026,Node 1,,,,,
R1,D026,Node 2,,,,,
R1,D026,Node 3,,,,,
R1,D026,Conclusion,,,,,
R1,D026,Confirmation,,,,,
