group1,group2,meandiff,p-adj,lower,upper,reject
ChatGPT,Claude,0.6,0.6484,-0.6427,1.8427,False
ChatGPT,DeepSeek,-0.58,0.6766,-1.8227,0.6627,False
ChatGPT,Gemini,0.58,0.6766,-0.6627,1.8227,False
ChatGPT,Grok,0.46,0.8297,-0.7827,1.7027,False
Claude,DeepSeek,-1.18,0.07,-2.4227,0.0627,False
Claude,Gemini,-0.02,1.0,-1.2627,1.2227,False
Claude,Grok,-0.14,0.9976,-1.3827,1.1027,False
DeepSeek,Gemini,1.16,0.0777,-0.0827,2.4027,False
DeepSeek,Grok,1.04,0.1402,-0.2027,2.2827,False
Gemini,Grok,-0.12,0.9987,-1.3627,1.1227,False
