RaterID,DialogueCode,Node,Awareness,Consistency,Ethics,Contradiction,Comments
R2,D001,Node 1,,,,,
R2,D001,Node 2,,,,,
R2,D001,Node 3,,,,,
R2,D001,Conclusion,,,,,
R2,D001,Confirmation,,,,,
R2,D002,Node 1,,,,,
R2,D002,Node 2,,,,,
R2,D002,Node 3,,,,,
R2,D002,Conclusion,,,,,
R2,D002,Confirmation,,,,,
R2,D003,Node 1,,,,,
R2,D003,Node 2,,,,,
R2,D003,Node 3,,,,,
R2,D003,Conclusion,,,,,
R2,D003,Confirmation,,,,,
R2,D004,Node 1,,,,,
R2,D004,Node 2,,,,,
R2,D004,Node 3,,,,,
R2,D004,Conclusion,,,,,
R2,D004,Confirmation,,,,,
R2,D005,Node 1,,,,,
R2,D005,Node 2,,,,,
R2,D005,Node 3,,,,,
R2,D005,Conclusion,,,,,
R2,D005,Confirmation,,,,,
R2,D006,Node 1,,,,,
R2,D006,Node 2,,,,,
R2,D006,Node 3,,,,,
R2,D006,Conclusion,,,,,
R2,D006,Confirmation,,,,,
R2,D007,Node 1,,,,,
R2,D007,Node 2,,,,,
R2,D007,Node 3,,,,,
R2,D007,Conclusion,,,,,
R2,D007,Confirmation,,,,,
R2,D008,Node 1,,,,,
R2,D008,Node 2,,,,,
R2,D008,Node 3,,,,,
R2,D008,Conclusion,,,,,
R2,D008,Confirmation,,,,,
R2,D009,Node 1,,,,,
R2,D009,Node 2,,,,,
R2,D009,Node 3,,,,,
R2,D009,Conclusion,,,,,
R2,D009,Confirmation,,,,,
R2,D010,Node 1,,,,,
R2,D010,Node 2,,,,,
R2,D010,Node 3,,,,,
R2,D010,Conclusion,,,,,
R2,D010,Confirmation,,,,,
R2,D011,Node 1,,,,,
R2,D011,Node 2,,,,,
R2,D011,Node 3,,,,,
R2,D011,Conclusion,,,,,
R2,D011,Confirmation,,,,,
R2,D012,Node 1,,,,,
R2,D012,Node 2,,,,,
R2,D012,Node 3,,,,,
R2,D012,Conclusion,,,,,
R2,D012,Confirmation,,,,,
R2,D013,Node 1,,,,,
